date,caller,call.name,combi.length,context,context.length,demosubset
2019-01-03,id10,GR_PG,2,FU_RA_RE,3,0
2019-01-03,id10,GR_PG,2,AP,1,1
2019-01-03,id10,GR,1,AP_PL,2,0
2019-01-03,id10,GR,1,AP,1,1
2019-01-03,id10,BK,1,BA,1,0
2019-01-03,id10,BK,1,BA,1,0
2019-01-03,id12,PH_SC,2,TR,1,0
2019-01-03,id12,GR,1,BA,1,0
2019-01-03,id32,HO_GR,2,FU_RA_RE,3,0
2019-01-03,id32,PH_PG,2,FE_FU,2,0
2019-01-03,id32,GR,1,AP,1,1
2019-01-03,id32,GR,1,FU_RA_RE,3,0
2019-01-03,id32,GR,1,AF_AP,2,1
2019-01-03,id32,GR,1,AP_PL,2,0
2019-01-03,id32,GR,1,TR,1,1
2019-01-03,id34,HO_PG,2,NS,1,0
2019-01-03,id34,HO,1,TR,1,0
2019-01-03,id34,HO,1,RE,1,0
2019-01-03,id38,PG,1,RA,1,0
2019-01-03,id38,HO,1,IP_RE,2,0
2019-01-03,id39,GR_BK,2,FU_RA_RE,3,0
2019-01-03,id39,PG,1,AP_FU_TR,3,0
2019-01-03,id39,GR,1,AP,1,0
2019-01-03,id39,SC,1,RA,1,0
2019-01-03,id39,HO,1,FE_IP,2,0
2019-01-03,id39,SC,1,GA,1,0
2019-01-03,id39,SC,1,GA,1,0
2019-01-03,id39,HO,1,IP_RE,2,0
2019-01-03,id39,GR,1,AP,1,0
2019-01-03,id39,HO,1,NS,1,0
2019-01-03,id39,PG,1,NS,1,0
2019-01-03,id43,BK,1,FE_IP,2,0
2019-01-03,id43,GR,1,AP,1,0
2019-01-03,id44,GR_PG,2,FU_RA_RE,3,0
2019-01-03,id44,BK,1,FU_RA_RE,3,0
2019-01-03,id44,PH,1,IP_RE,2,0
2019-01-03,id52,HO_GR,2,RE,1,0
2019-01-03,id52,GR_PG,2,NS,1,0
2019-01-03,id52,HO,1,TR,1,0
2019-01-04,id06,GR,1,AP,1,0
2019-01-04,id10,GR,1,AP,1,1
2019-01-04,id10,GR,1,RA,1,1
2019-01-04,id10,PN,1,AF_AP_FU_RE,4,0
2019-01-04,id10,GR,1,AP,1,1
2019-01-04,id10,SC,1,GA,1,0
2019-01-04,id12,HO_PG,2,NS,1,1
2019-01-04,id12,GR_PG,2,NS,1,1
2019-01-04,id32,GR_BK,2,PL_RA,2,0
2019-01-04,id32,HO_GR,2,FE_IP,2,0
2019-01-04,id32,GR,1,PL_RA,2,0
2019-01-04,id32,GR,1,FE,1,0
2019-01-04,id32,GR,1,FE,1,0
2019-01-04,id32,HO,1,FE,1,0
2019-01-04,id32,PB,1,GA,1,0
2019-01-04,id32,GR,1,FE,1,0
2019-01-04,id32,GR,1,FE,1,0
2019-01-04,id32,PG,1,PL,1,0
2019-01-04,id44,PH_PG,2,AP,1,0
2019-01-04,id44,HO_PG,2,AP,1,0
2019-01-04,id44,PN,1,AF_AP,2,0
2019-01-04,id44,PG,1,AF_AP,2,0
2019-01-04,id44,PN,1,PL,1,0
2019-01-04,id44,HO,1,EN,1,0
2019-01-04,id44,PB,1,EN,1,0
2019-01-04,id44,SC,1,AP_RA,2,0
2019-01-04,id44,SC,1,RA,1,0
2019-01-04,id44,HO,1,DI,1,0
2019-01-04,id44,SC,1,RA,1,0
2019-01-05,id10,GR,1,AP_FU_RE,3,0
2019-01-05,id10,HO,1,OP,1,1
2019-01-05,id10,HO,1,NS,1,1
2019-01-05,id10,GR,1,AP,1,1
2019-01-05,id12,GR_PG,2,FU_RA_RE,3,0
2019-01-05,id12,HO_PH,2,TR,1,1
2019-01-05,id12,GR,1,TR,1,1
2019-01-05,id12,GR,1,FU_TR,2,1
2019-01-05,id12,HO,1,TR,1,1
2019-01-05,id32,PG,1,NS,1,1
2019-01-05,id34,PG,1,PL,1,0
